attacked_feature,attacked_mode,attack_ratio,F2 score
temperature_celsius,DIPA,0.03,1
temperature_celsius,DIPA,0.06,1
temperature_celsius,DIPA,0.09,0.909925959
temperature_celsius,DIPA,0.12,1
temperature_celsius,DIPA,0.15,1
temperature_celsius,DIPA,0.18,1
temperature_celsius,DIPA,0.21,1
temperature_celsius,DIPA,0.24,1
temperature_celsius,DIPA,0.27,1
temperature_celsius,DIPA,0.3,0.907992266
temperature_celsius,DIPA,0.33,0.907992266
temperature_celsius,DIPA,0.36,1
temperature_celsius,DIPA,0.39,1
temperature_celsius,DIPA,0.42,1
temperature_celsius,DIPA,0.45,1
temperature_celsius,DIPA,0.48,0.907087329
temperature_celsius,DIPA,0.51,1
temperature_celsius,DRPA,0.03,1
temperature_celsius,DRPA,0.06,1
temperature_celsius,DRPA,0.09,1
temperature_celsius,DRPA,0.12,1
temperature_celsius,DRPA,0.15,1
temperature_celsius,DRPA,0.18,1
temperature_celsius,DRPA,0.21,1
temperature_celsius,DRPA,0.24,1
temperature_celsius,DRPA,0.27,1
temperature_celsius,DRPA,0.3,1
temperature_celsius,DRPA,0.33,1
temperature_celsius,DRPA,0.36,1
temperature_celsius,DRPA,0.39,1
temperature_celsius,DRPA,0.42,0.907643751
temperature_celsius,DRPA,0.45,0.907282373
temperature_celsius,DRPA,0.48,1
temperature_celsius,DRPA,0.51,1
temperature_celsius,ROPA,0.03,1
temperature_celsius,ROPA,0.06,1
temperature_celsius,ROPA,0.09,1
temperature_celsius,ROPA,0.12,1
temperature_celsius,ROPA,0.15,1
temperature_celsius,ROPA,0.18,1
temperature_celsius,ROPA,0.21,1
temperature_celsius,ROPA,0.24,1
temperature_celsius,ROPA,0.27,0.908172017
temperature_celsius,ROPA,0.3,1
temperature_celsius,ROPA,0.33,1
temperature_celsius,ROPA,0.36,1
temperature_celsius,ROPA,0.39,1
temperature_celsius,ROPA,0.42,0.907643751
temperature_celsius,ROPA,0.45,1
temperature_celsius,ROPA,0.48,1
temperature_celsius,ROPA,0.51,1
pressure_mb,DIPA,0.03,1
pressure_mb,DIPA,0.06,1
pressure_mb,DIPA,0.09,1
pressure_mb,DIPA,0.12,1
pressure_mb,DIPA,0.15,1
pressure_mb,DIPA,0.18,1
pressure_mb,DIPA,0.21,1
pressure_mb,DIPA,0.24,1
pressure_mb,DIPA,0.27,0.908172017
pressure_mb,DIPA,0.3,1
pressure_mb,DIPA,0.33,1
pressure_mb,DIPA,0.36,0.907817673
pressure_mb,DIPA,0.39,1
pressure_mb,DIPA,0.42,1
pressure_mb,DIPA,0.45,1
pressure_mb,DIPA,0.48,1
pressure_mb,DIPA,0.51,0.90639105
pressure_mb,DRPA,0.03,1
pressure_mb,DRPA,0.06,1
pressure_mb,DRPA,0.09,1
pressure_mb,DRPA,0.12,1
pressure_mb,DRPA,0.15,1
pressure_mb,DRPA,0.18,1
pressure_mb,DRPA,0.21,1
pressure_mb,DRPA,0.24,1
pressure_mb,DRPA,0.27,1
pressure_mb,DRPA,0.3,1
pressure_mb,DRPA,0.33,1
pressure_mb,DRPA,0.36,1
pressure_mb,DRPA,0.39,1
pressure_mb,DRPA,0.42,1
pressure_mb,DRPA,0.45,1
pressure_mb,DRPA,0.48,1
pressure_mb,DRPA,0.51,1
pressure_mb,ROPA,0.03,1
pressure_mb,ROPA,0.06,1
pressure_mb,ROPA,0.09,1
pressure_mb,ROPA,0.12,1
pressure_mb,ROPA,0.15,1
pressure_mb,ROPA,0.18,1
pressure_mb,ROPA,0.21,1
pressure_mb,ROPA,0.24,1
pressure_mb,ROPA,0.27,1
pressure_mb,ROPA,0.3,1
pressure_mb,ROPA,0.33,1
pressure_mb,ROPA,0.36,1
pressure_mb,ROPA,0.39,0.907643751
pressure_mb,ROPA,0.42,1
pressure_mb,ROPA,0.45,0.907282373
pressure_mb,ROPA,0.48,1
pressure_mb,ROPA,0.51,0.90639105
feels_like_celsius,DIPA,0.03,1
feels_like_celsius,DIPA,0.06,1
feels_like_celsius,DIPA,0.09,1
feels_like_celsius,DIPA,0.12,1
feels_like_celsius,DIPA,0.15,1
feels_like_celsius,DIPA,0.18,1
feels_like_celsius,DIPA,0.21,1
feels_like_celsius,DIPA,0.24,1
feels_like_celsius,DIPA,0.27,1
feels_like_celsius,DIPA,0.3,1
feels_like_celsius,DIPA,0.33,1
feels_like_celsius,DIPA,0.36,1
feels_like_celsius,DIPA,0.39,1
feels_like_celsius,DIPA,0.42,1
feels_like_celsius,DIPA,0.45,1
feels_like_celsius,DIPA,0.48,0.907087329
feels_like_celsius,DIPA,0.51,1
feels_like_celsius,DRPA,0.03,1
feels_like_celsius,DRPA,0.06,1
feels_like_celsius,DRPA,0.09,1
feels_like_celsius,DRPA,0.12,1
feels_like_celsius,DRPA,0.15,1
feels_like_celsius,DRPA,0.18,1
feels_like_celsius,DRPA,0.21,1
feels_like_celsius,DRPA,0.24,1
feels_like_celsius,DRPA,0.27,1
feels_like_celsius,DRPA,0.3,0.907992266
feels_like_celsius,DRPA,0.33,1
feels_like_celsius,DRPA,0.36,1
feels_like_celsius,DRPA,0.39,1
feels_like_celsius,DRPA,0.42,1
feels_like_celsius,DRPA,0.45,1
feels_like_celsius,DRPA,0.48,0.907087329
feels_like_celsius,DRPA,0.51,0.90639105
feels_like_celsius,ROPA,0.03,1
feels_like_celsius,ROPA,0.06,1
feels_like_celsius,ROPA,0.09,1
feels_like_celsius,ROPA,0.12,1
feels_like_celsius,ROPA,0.15,1
feels_like_celsius,ROPA,0.18,1
feels_like_celsius,ROPA,0.21,1
feels_like_celsius,ROPA,0.24,1
feels_like_celsius,ROPA,0.27,1
feels_like_celsius,ROPA,0.3,1
feels_like_celsius,ROPA,0.33,1
feels_like_celsius,ROPA,0.36,1
feels_like_celsius,ROPA,0.39,1
feels_like_celsius,ROPA,0.42,1
feels_like_celsius,ROPA,0.45,1
feels_like_celsius,ROPA,0.48,0.907087329
feels_like_celsius,ROPA,0.51,1
gust_kph,DIPA,0.03,1
gust_kph,DIPA,0.06,1
gust_kph,DIPA,0.09,1
gust_kph,DIPA,0.12,1
gust_kph,DIPA,0.15,1
gust_kph,DIPA,0.18,1
gust_kph,DIPA,0.21,1
gust_kph,DIPA,0.24,1
gust_kph,DIPA,0.27,0.908172017
gust_kph,DIPA,0.3,1
gust_kph,DIPA,0.33,1
gust_kph,DIPA,0.36,0.907817673
gust_kph,DIPA,0.39,0.907643751
gust_kph,DIPA,0.42,1
gust_kph,DIPA,0.45,0.907282373
gust_kph,DIPA,0.48,0.907087329
gust_kph,DIPA,0.51,1
gust_kph,DRPA,0.03,1
gust_kph,DRPA,0.06,1
gust_kph,DRPA,0.09,1
gust_kph,DRPA,0.12,1
gust_kph,DRPA,0.15,1
gust_kph,DRPA,0.18,1
gust_kph,DRPA,0.21,1
gust_kph,DRPA,0.24,1
gust_kph,DRPA,0.27,1
gust_kph,DRPA,0.3,1
gust_kph,DRPA,0.33,1
gust_kph,DRPA,0.36,1
gust_kph,DRPA,0.39,1
gust_kph,DRPA,0.42,0.907643751
gust_kph,DRPA,0.45,1
gust_kph,DRPA,0.48,0.907087329
gust_kph,DRPA,0.51,0.90639105
gust_kph,ROPA,0.03,1
gust_kph,ROPA,0.06,1
gust_kph,ROPA,0.09,1
gust_kph,ROPA,0.12,1
gust_kph,ROPA,0.15,1
gust_kph,ROPA,0.18,1
gust_kph,ROPA,0.21,1
gust_kph,ROPA,0.24,1
gust_kph,ROPA,0.27,1
gust_kph,ROPA,0.3,1
gust_kph,ROPA,0.33,1
gust_kph,ROPA,0.36,1
gust_kph,ROPA,0.39,0.907643751
gust_kph,ROPA,0.42,1
gust_kph,ROPA,0.45,0.907282373
gust_kph,ROPA,0.48,1
gust_kph,ROPA,0.51,0.90639105
humidity,DIPA,0.03,1
humidity,DIPA,0.06,1
humidity,DIPA,0.09,1
humidity,DIPA,0.12,0.909446393
humidity,DIPA,0.15,1
humidity,DIPA,0.18,1
humidity,DIPA,0.21,1
